"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","116866","§56 UI 重建 §56 验证有效性校验-抽样开启校验全不通过功能","chromium","2026-07-30","failed","2026-07-30","v6411 §56 UI 重建规则集和规则任务","workspace/dataAssets/features/v6.4.11/【v6411】【岚图汽车】【数据资产】数据质量任务性能优化，规则sql合并/automation/tests/runners/full.spec.ts","",""
"","165523","§62 UI 重建 §62 验证完整性校验校验通过质量报告正确","chromium","2026-07-30","passed","2026-07-30","v6411 §62 UI 重建规则集和规则任务","workspace/dataAssets/features/v6.4.11/【v6411】【岚图汽车】【数据资产】数据质量任务性能优化，规则sql合并/automation/tests/runners/full.spec.ts","",""
"","521160","§72 UI 重建 §72 验证完整性校验-单字段-抽样关闭校验全通过功能","chromium","2026-07-29","failed","2026-07-29","v6411 §72 UI 重建规则集和规则任务","workspace/dataAssets/features/v6.4.11/【v6411】【岚图汽车】【数据资产】数据质量任务性能优化，规则sql合并/automation/tests/runners/full.spec.ts","",""
"","539971","§67 UI 重建 §67 验证完整性校验-多字段-抽样关闭校验全不通过功能","chromium","2026-07-29","failed","2026-07-29","v6411 §67 UI 重建规则集和规则任务","workspace/dataAssets/features/v6.4.11/【v6411】【岚图汽车】【数据资产】数据质量任务性能优化，规则sql合并/automation/tests/runners/full.spec.ts","",""
"","182043","§68 UI 重建 §68 验证完整性校验-多字段-抽样关闭校验全通过功能","chromium","2026-07-29","passed","2026-07-29","v6411 §68 UI 重建规则集和规则任务","workspace/dataAssets/features/v6.4.11/【v6411】【岚图汽车】【数据资产】数据质量任务性能优化，规则sql合并/automation/tests/runners/full.spec.ts","",""
"","140748","§60 UI 重建 §60 验证完整性校验校验不通过的规则查看明细功能","chromium","2026-07-30","failed","2026-07-30","v6411 §60 UI 重建规则集和规则任务","workspace/dataAssets/features/v6.4.11/【v6411】【岚图汽车】【数据资产】数据质量任务性能优化，规则sql合并/automation/tests/runners/full.spec.ts","",""
"","150411","§65 UI 重建 §65 验证完整性校验-多字段-抽样开启校验全不通过功能","chromium","2026-07-29","passed","2026-07-29","v6411 §65 UI 重建规则集和规则任务","workspace/dataAssets/features/v6.4.11/【v6411】【岚图汽车】【数据资产】数据质量任务性能优化，规则sql合并/automation/tests/runners/full.spec.ts","",""
"","195753","§57 UI 重建 §57 验证有效性校验-抽样开启校验全通过功能","chromium","2026-07-30","failed","2026-07-30","v6411 §57 UI 重建规则集和规则任务","workspace/dataAssets/features/v6.4.11/【v6411】【岚图汽车】【数据资产】数据质量任务性能优化，规则sql合并/automation/tests/runners/full.spec.ts","",""
"","159823","§63 UI 重建 §63 验证完整性校验-多字段-抽样开启-设置分区校验功能","chromium","2026-07-29","passed","2026-07-30","v6411 §63 UI 重建规则集和规则任务","workspace/dataAssets/features/v6.4.11/【v6411】【岚图汽车】【数据资产】数据质量任务性能优化，规则sql合并/automation/tests/runners/full.spec.ts","",""
"","175264","§58 UI 重建 §58 验证有效性校验-抽样关闭校验全不通过功能","chromium","2026-07-30","passed","2026-07-30","v6411 §58 UI 重建规则集和规则任务","workspace/dataAssets/features/v6.4.11/【v6411】【岚图汽车】【数据资产】数据质量任务性能优化，规则sql合并/automation/tests/runners/full.spec.ts","",""
"","542775","§66 UI 重建 §66 验证完整性校验-多字段-抽样开启校验全通过功能","chromium","2026-07-29","failed","2026-07-29","v6411 §66 UI 重建规则集和规则任务","workspace/dataAssets/features/v6.4.11/【v6411】【岚图汽车】【数据资产】数据质量任务性能优化，规则sql合并/automation/tests/runners/full.spec.ts","",""
"","181210","§70 UI 重建 §70 验证完整性校验-单字段-抽样开启校验全通过功能","chromium","2026-07-29","passed","2026-07-29","v6411 §70 UI 重建规则集和规则任务","workspace/dataAssets/features/v6.4.11/【v6411】【岚图汽车】【数据资产】数据质量任务性能优化，规则sql合并/automation/tests/runners/full.spec.ts","",""
"","520954","§71 UI 重建 §71 验证完整性校验-单字段-抽样关闭校验全不通过功能","chromium","2026-07-29","failed","2026-07-29","v6411 §71 UI 重建规则集和规则任务","workspace/dataAssets/features/v6.4.11/【v6411】【岚图汽车】【数据资产】数据质量任务性能优化，规则sql合并/automation/tests/runners/full.spec.ts","",""
"","190208","§69 UI 重建 §69 验证完整性校验-单字段-抽样开启校验全不通过功能","chromium","2026-07-29","passed","2026-07-29","v6411 §69 UI 重建规则集和规则任务","workspace/dataAssets/features/v6.4.11/【v6411】【岚图汽车】【数据资产】数据质量任务性能优化，规则sql合并/automation/tests/runners/full.spec.ts","",""
"","566288","§61 UI 重建 §61 验证完整性校验校验不通过质量报告正确","chromium","2026-07-30","failed","2026-07-30","v6411 §61 UI 重建规则集和规则任务","workspace/dataAssets/features/v6.4.11/【v6411】【岚图汽车】【数据资产】数据质量任务性能优化，规则sql合并/automation/tests/runners/full.spec.ts","",""
"","150277","§64 UI 重建 §64 验证完整性校验-单字段-抽样开启-设置分区校验功能","chromium","2026-07-29","passed","2026-07-29","v6411 §64 UI 重建规则集和规则任务","workspace/dataAssets/features/v6.4.11/【v6411】【岚图汽车】【数据资产】数据质量任务性能优化，规则sql合并/automation/tests/runners/full.spec.ts","",""
"","159911","§59 UI 重建 §59 验证有效性校验-抽样关闭校验全通过功能","chromium","2026-07-30","failed","2026-07-30","v6411 §59 UI 重建规则集和规则任务","workspace/dataAssets/features/v6.4.11/【v6411】【岚图汽车】【数据资产】数据质量任务性能优化，规则sql合并/automation/tests/runners/full.spec.ts","",""
"","51","汇总选中的 UI 重建结果状态","chromium","2026-07-30","failed","2026-07-30","","workspace/dataAssets/features/v6.4.11/【v6411】【岚图汽车】【数据资产】数据质量任务性能优化，规则sql合并/automation/tests/runners/full.spec.ts","",""
