"path","area","kind","size_bytes","line_count","sha256","disposition","target_pattern","reason_codes"
".agents/scripts/kata","codex-runtime","symlink","38","","5a9410159ebf490d4e850bc04deade4e20d9a43f2c91221b4eff27588a0d0d5c","make-codex-primary",".agents/scripts/kata",""
".agents/skills/_shared","codex-runtime","symlink","28","","e9e6020ada179360fe791205921ccd38cfe6c4431521555d974af27fcb013b14","replace-symlink-with-native-adapter",".agents/skills/<name>/ thin Codex-first entry",""
".agents/skills/case-draft/SKILL.md","codex-runtime","text","3921","65","a7c066ae449ab6b9aa369eee31ae099a464b67409a8763e1327f117217b1f2e1","make-codex-primary",".agents/skills/<name>/ thin Codex-first entry",""
".agents/skills/case-draft/references/input-output-contract.md","codex-runtime","text","2342","79","6b454858272af0b2666204b8950da740f9617d0a1e8640f66e29b6fa11656d91","make-codex-primary",".agents/skills/<name>/ thin Codex-first entry",""
".agents/skills/case-draft/references/quality-rubric.md","codex-runtime","text","1411","31","50c5a223abbd5887daeda02df0316974fe571a1f39601163b22d32e077b9fa60","make-codex-primary",".agents/skills/<name>/ thin Codex-first entry",""
".agents/skills/case-edit","codex-runtime","symlink","30","","fb52a4aa1612bbcfbae5639ad7f664d031faaf096f23e9b529b7ca6436528c6b","replace-symlink-with-native-adapter",".agents/skills/<name>/ thin Codex-first entry",""
".agents/skills/case-hotfix","codex-runtime","symlink","32","","d497c58f3df9c407b926f2f1f59129eef8c768d46e7edd08e927abf5725530d5","replace-symlink-with-native-adapter",".agents/skills/<name>/ thin Codex-first entry",""
".agents/skills/defect-analyze","codex-runtime","symlink","35","","d51dc6545b591d9cd2dd37ed5f0a26ac7b6f2436f9445c21ae68742adbfdc61c","replace-symlink-with-native-adapter",".agents/skills/<name>/ thin Codex-first entry",""
".agents/skills/infra-diagnose","codex-runtime","symlink","35","","52fd78611df2f1c821496f8f4d1aa9c7fd8113c04707095bec192811275d1dcc","replace-symlink-with-native-adapter",".agents/skills/<name>/ thin Codex-first entry",""
".agents/skills/knowledge-curate","codex-runtime","symlink","37","","b954fe1aed282b28ace62cf6a7d77d7da284878921928718295c5399f57bfc28","replace-symlink-with-native-adapter",".agents/skills/<name>/ thin Codex-first entry",""
".agents/skills/playwright-automation/SKILL.md","codex-runtime","text","3472","68","60a749834d3517acc8dbd4b7b91131d7007eacfc89634b3f13460f678e89d08a","make-codex-primary",".agents/skills/<name>/ thin Codex-first entry",""
".agents/skills/playwright-automation/references/environment-policy.md","codex-runtime","text","1295","42","3fe3abed6000b838fb886f41714d2cc70e658765df692c0ff8d10a111da0babe","make-codex-primary",".agents/skills/<name>/ thin Codex-first entry",""
".agents/skills/playwright-automation/references/run-contract.md","codex-runtime","text","2110","79","c0e43dc03e649c2e5c8b1578f0f7093d1ee4d6e2aeebff9d08df9df93a04f054","make-codex-primary",".agents/skills/<name>/ thin Codex-first entry",""
".agents/skills/playwright-automation/references/script-standard.md","codex-runtime","text","2169","58","ff701d439019b87a10e7d12321ab2de48f109b574faab57c9b97454f47637fa6","make-codex-primary",".agents/skills/<name>/ thin Codex-first entry",""
".agents/skills/using-kata-codex/SKILL.md","codex-runtime","text","1479","30","7a768f81f1fe4e6439602bf9c3055551ce2e3eb6613580832f68a37708fbff9f","make-codex-primary",".agents/skills/<name>/ thin Codex-first entry",""
".agents/skills/using-kata-codex/references/codex-tools.md","codex-runtime","text","2348","36","511f7a2f1508539df27fb0159bee9b3cfe71570d65da31c14d39e2f92f2ccdd6","make-codex-primary",".agents/skills/<name>/ thin Codex-first entry",""
