"用例编号","所属产品","所属模块","相关需求","用例标题","前置条件","步骤","预期","实际情况","关键词","优先级","用例类型","适用阶段","用例状态","B","R","S","结果","由谁创建","创建日期","最后修改者","修改日期","用例版本","相关用例"
"184886","数据资产_STD(#23)","/版本迭代测试用例/v6.4.10/数据安全管理下线掉行级别权限配置(#10506)","【数据安全】下线行列级别权限配置(#15789)","验证 UI 下线行级权限入口后数据库中历史行级权限数据仍保留","具有数据库直连或后台查询权限；测试环境数据库存在历史行级权限数据（通过 SQL 确认：`SELECT COUNT(*) FROM 权限配置表 WHERE 行级权限字段 IS NOT NULL`）","1. 通过数据库客户端查询历史行级权限记录数量，记录结果为 N 条
2. 在 UI 侧完整操作一次权限配置/申请/审批流程，完成后再次执行步骤 1 查询","1. 查询返回 N 条含行级权限数据的记录；确认存量数据存在
2. 二次查询结果数量仍为 N 条；UI 操作未触发对历史行级权限数据的删除；后端数据完整保留","1. 
2.","","3","功能测试","功能测试阶段","正常","0","0","2","","不二","2026-04-27","","0000-00-00","1","",""
"184885","数据资产_STD(#23)","/版本迭代测试用例/v6.4.10/数据安全管理下线掉行级别权限配置(#10506)","【数据安全】下线行列级别权限配置(#15789)","验证权限策略保存含列级配置后权限分配详情面板不含行级权限列","当前账号为管理员，有权限策略管理及权限分配查看能力","1. 进入【数据安全 → 数据权限管理 → 新增权限策略】，开启开关，添加列级配置（数据库 test_db，数据表 orders，列权限 store_id）
2. 点击【保存】按钮，等待操作完成
3. 进入【权限分配】页面，点击对应数据源记录，等待页面加载完成","1. 配置添加成功；子表仅显示四列，无「行级权限」列
2. 策略保存成功
3. 详情面板打开；区块标题「列级权限配置」；子表不展示「行级权限」列；store_id 数据正确展示","1. 
2. 
3.","","2","功能测试","功能测试阶段","正常","0","0","3","","不二","2026-04-27","","0000-00-00","1","",""
"184884","数据资产_STD(#23)","/版本迭代测试用例/v6.4.10/数据安全管理下线掉行级别权限配置(#10506)","【数据安全】下线行列级别权限配置(#15789)","验证批量申请提交表级权限后审批详情不含行级权限项且表级权限条目正确","申请方账号「李思远」已登录；数据地图存在至少 2 条数据表（orders、product_info）","1. 以李思远账号进入【数据地图】，勾选 orders 和 product_info，点击【批量申请权限】，等待操作完成
2. 填写：
- 权限类型：勾选 DQL
- 有效期：选择「永久」
- 申请原因：输入「跨页面关联测试-批量申请」
点击【提交】，等待操作完成
3. 进入【审批中心 → 我的申请】，点击刚提交的批量申请记录
4. 检查权限详情表格列结构","1. 弹窗弹出；不展示行级/列级权限入口
2. 批量申请提交成功
3. 详情面板展开；展示 orders 和 product_info 的申请条目
4. 表格不含「行级权限」列；「表权限」列正确展示 DQL；两条记录均正常展示","1. 
2. 
3. 
4.","","1","功能测试","功能测试阶段","正常","0","1","4","通过","不二","2026-04-27","","0000-00-00","1","",""
"184883","数据资产_STD(#23)","/版本迭代测试用例/v6.4.10/数据安全管理下线掉行级别权限配置(#10506)","【数据安全】下线行列级别权限配置(#15789)","验证单表申请提交列级权限后审批详情不展示行级权限列且列级权限值正确","申请方账号「张三」已登录；数据地图存在含多列数据表 orders（含列 store_id、order_price）","1. 以张三账号进入【数据地图】，选中 orders，点击【申请权限】，等待操作完成
2. 填写：
- 表级权限：勾选 DQL
- 列权限：选择 store_id、order_price
- 有效期：选择「永久」
- 申请原因：输入「跨页面关联测试-单表申请」
点击【提交】，等待操作完成
3. 进入【PublicService → 审批中心 → 我的申请】，点击刚提交的记录
4. 检查权限详情表格列结构和列级权限值","1. 弹窗弹出；不展示行级权限控件
2. 申请提交成功；弹窗关闭
3. 详情面板展开
4. 表格不展示「行级权限」列；「列级权限」列显示值为 store_id、order_price（与申请时一致）；申请信息无丢失","1. 
2. 
3. 
4.","","1","功能测试","功能测试阶段","正常","0","1","4","通过","不二","2026-04-27","","0000-00-00","1","",""
"184882","数据资产_STD(#23)","/版本迭代测试用例/v6.4.10/数据安全管理下线掉行级别权限配置(#10506)","【数据安全】下线行列级别权限配置(#15789)","验证历史含行级权限配置的申请记录详情中行级权限不渲染且其余信息正常展示","数据库存在历史申请记录，含行级权限配置数据（如 `(s_city = &#039;1&#039;)`）","1. 进入【审批中心 → 我的申请】，找到并点击含行级权限的历史申请记录
2. 检查权限详情表格的列结构和数据展示","1. 详情面板展开；加载无报错
2. 不存在「行级权限」列；历史行级权限数据不渲染；「表权限」「列级权限」列数据正常；有效期、申请原因等其余字段正常展示","1. 
2.","","2","功能测试","功能测试阶段","正常","0","0","2","","不二","2026-04-27","","0000-00-00","1","",""
"184881","数据资产_STD(#23)","/版本迭代测试用例/v6.4.10/数据安全管理下线掉行级别权限配置(#10506)","【数据安全】下线行列级别权限配置(#15789)","验证审批中心各状态 Tab 的详情均隐藏行级权限列","审批中心「审批中」「已结束」Tab 各存在至少一条数据资产类申请记录","1. 进入【审批中心】，切换到「审批中」Tab，点击任意记录
2. 切换到「已结束」Tab，点击任意记录
3. 切换回「我的申请」Tab，点击任意记录","1. 详情面板展开；表格不展示「行级权限」列
2. 详情面板展开；表格不展示「行级权限」列
3. 详情面板展开；表格不展示「行级权限」列；各 Tab 表现一致","1. 
2. 
3.","","1","功能测试","功能测试阶段","正常","0","1","3","通过","不二","2026-04-27","","0000-00-00","1","",""
"184880","数据资产_STD(#23)","/版本迭代测试用例/v6.4.10/数据安全管理下线掉行级别权限配置(#10506)","【数据安全】下线行列级别权限配置(#15789)","验证我的申请详情区块标题不含行级权限字样","同 TC-REQ-15","1. 进入【审批中心 → 我的申请】，点击任意数据资产类申请记录
2. 检查详情面板中所有区块标题文案","1. 申请详情面板展开
2. 若存在权限配置区块，标题显示为「列级权限配置」；不出现「行级权限」或「行列级权限」字样","1. 
2.","","2","功能测试","功能测试阶段","正常","0","0","2","","不二","2026-04-27","","0000-00-00","1","",""
"184879","数据资产_STD(#23)","/版本迭代测试用例/v6.4.10/数据安全管理下线掉行级别权限配置(#10506)","【数据安全】下线行列级别权限配置(#15789)","验证我的申请详情权限详情表格不展示行级权限列","当前账号已登录；审批中心「我的申请」Tab 存在至少一条数据资产类申请记录","1. 进入【PublicService → 审批中心 → 我的申请】，点击任意数据资产类申请记录
2. 检查权限详情区域的表格列头","1. 申请详情面板展开，权限详情区域可见
2. 表格仅展示「表权限」和「列级权限」两列；不存在「行级权限」列","1. 
2.","","1","功能测试","功能测试阶段","正常","0","1","2","通过","不二","2026-04-27","","0000-00-00","1","",""
"184878","数据资产_STD(#23)","/版本迭代测试用例/v6.4.10/数据安全管理下线掉行级别权限配置(#10506)","【数据安全】下线行列级别权限配置(#15789)","验证批量勾选 50 条以上数据表时弹窗正常打开且提交流程无异常","当前账号已登录；数据地图存在 50 条以上可选数据表","1. 进入【数据地图】，勾选 50 条数据表（或全选）
2. 点击【批量申请权限】按钮，等待操作完成
3. 填写：
- 权限类型：勾选 DQL
- 有效期：选择「永久」
- 申请原因：输入「批量50条边界测试」
然后点击【提交】按钮，等待操作完成","1. 50 条记录被勾选；【批量申请权限】按钮可点击
2. 弹窗在 3 秒内正常打开；渲染无卡顿或白屏
3. 提交成功；无超时报错；无「请求体过大」类错误","1. 
2. 
3.","","3","功能测试","功能测试阶段","正常","0","0","3","","不二","2026-04-27","","0000-00-00","1","",""
"184877","数据资产_STD(#23)","/版本迭代测试用例/v6.4.10/数据安全管理下线掉行级别权限配置(#10506)","【数据安全】下线行列级别权限配置(#15789)","验证仅勾选 1 条数据表时批量申请权限按钮不可用","当前账号已登录；数据地图列表存在可选数据表","1. 进入【数据地图】，仅勾选 1 条数据表
2. 检查工具栏【批量申请权限】按钮状态","1. 1 条记录被勾选
2. 按钮处于禁用（置灰）状态或不展示；点击无响应","1. 
2.","","3","功能测试","功能测试阶段","正常","0","0","2","","不二","2026-04-27","","0000-00-00","1","",""
